#below was found by google scholar review
#court,switch_parties_on_direct_or_final_order_appeal_criminal_trial
supremecourt,y
alcivilappeals,N/A(civil court)
alcriminalappeals,y
alsupreme,y
akappeals,y
aksupreme,y
azappeals,n
azsupreme,n
arappeals,n
arsupreme,n
caappellatediv,n
caappeal,n
casupreme,n
coappeals,n
cosupreme,n
ctappellate,n
ctsupreme,n
dechancery,N/A(civil court)
desuperior,N/A(trial court for criminal law as far as I can see)
desupreme,y
dcappeals,y
fldappeals,y
flsupreme,y
gaappeals,y
gasupreme,y
hiintermediateappeals,n
hisupreme,n
idappeals,n
idsupreme,n(but reversed on denial of post-conviction relief)
ilappellate,n
ilsupreme,n
inappellate,y
inappeals,y
insupreme,y
iaappeals,n
iasupreme,n
ksappeals,n
kssupreme,n
kyappeals,y
kysupreme,y
laappeals,n
lasupreme,n
mesupremejudicial,y
mdspecialappeals,y
mdappeals,y
maappeals,n
masupremejudicial,n
miappeals,n
misupreme,n
mnappeals,n
mnsupreme,n(but reversed on denial of post-conviction relief)
msappeals,y
mssupreme,y
moappeals,n
mosupreme,n
mtsupreme,n
neappeals,n
nesupreme,n
nvsupreme,y
nhsupreme,n
njappellatediv,n
njsupreme,n
nmappeals,n
nmsupreme,n(but reversed on interlocutary/postconviction relie?)
nyappellatediv,n
nyappellateterm,n
nyappeals,n
ncappeals,n
ncsupreme,n
ndappeals,n
ndsupreme,n
ohappeals,n
ohsupreme,n
okappeals,y
okcivilappeals,NA(civil)
okcriminalappeals,y
oksupreme,y
orappeals,n
orsupreme,n
pacommonwealth,y(check but at least for DUI cases which I can see it is the case that it is reversed)
pasuperior,n
pasupreme,n
risupreme,n
scappeals,n
scsupreme,n
sdsupreme,n
tnappeals,N/A(doesn't appear to have anything criminal)
tncriminalappeals,n
tnsupreme,n
txappeals,y
txcivilappeals,N/A
txcriminalappeals,y
txsupreme,y
utappeals,n
utsupreme,n
vtsupreme,n
vaappeals,y
vasupreme,y
waappeals,n
wasupreme,n
wvsupremeappeals,n
wiappeals,n
wisupreme,n
wysupreme,y
dme,N/A
dma,N/A
dnh,N/A
dpr,N/A
dri,N/A
1stcirbankruptcyappellate
dct,N/A
dvt,N/A
edny,N/A
ndny,N/A
sdny,N/A
wdny,N/A
2ndcirbankruptcyappellate
dde,N/A
dnj,N/A
dvi,N/A
edpa,N/A
mdpa,N/A
wdpa,N/A
3rdcirbankruptcy
dmd,N/A
dsc,N/A
ednc,N/A
mdnc,N/A
wdnc,N/A
edva,N/A
wdva,N/A
ndwv,N/A
sdwv,N/A
4thcirbankruptcy
edla,N/A
mdla,N/A
wdla,N/A
ndms,N/A
sdms,N/A
edtx,N/A
ndtx,N/A
sdtx,N/A
wdtx,N/A
5thcirbankruptcy
edky,N/A
wdky,N/A
edmi,N/A
wdmi,N/A
ndoh,N/A
sdoh,N/A
edtn,N/A
mdtn,N/A
wdtn,N/A
6thcirbankruptcyappellate
cdil,N/A
ndil,N/A
sdil,N/A
ndin,N/A
sdin,N/A
edwi,N/A
wdwi,N/A
7thcirbankruptcy
8thcirminnesota
dne,N/A
dnd,N/A
dsd,N/A
edar,N/A
wdar,N/A
ndia,N/A
sdia,N/A
edmo,N/A
wdmo,N/A
8thcirbankruptcyappellate
dak,N/A
daz,N/A
dgu,N/A
dhi,N/A
did,N/A
dmt,N/A
dnv,N/A
dor,N/A
cdca,N/A
edca,N/A
ndca,N/A
sdca,N/A
edwa,N/A
wdwa,N/A
9thcirbankruptcyappellate
dco,N/A
dks,N/A
dnm,N/A
dut,N/A
dwy,N/A
edok,N/A
ndok,N/A
wdok,N/A
10thcirbankruptcyappellate
mdal,N/A
ndal,N/A
sdal,N/A
mdfl,N/A
ndfl,N/A
sdfl,N/A
mdga,N/A
ndga,N/A
sdga,N/A
11thcirbankruptcy
dccirdc,N/A
dccirbankruptcy,N/A
10thcirbankruptcy,N/A
9thcirbankruptcy,N/A
8thcirbankruptcy,N/A
6thcirbankruptcy,N/A
2ndcirbankruptcy,N/A
1stcirbankruptcy,N/A
alappeals,y(note this no longer exists it was split up)
1stcir,n
2ndcir,n
3rdcir,n
4thcir,n
5thcir,n
6thcir,n
7thcir,n
8thcir,n
9thcir,n
10thcir,n
11thcir,n
dccir,n
